AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,label,PINCP,Year,State
23.0,1.0,9.0,5.0,6050.0,6.0,0.0,40.0,1.0,1.0,False,60000.0,2014,CA
25.0,1.0,21.0,5.0,5140.0,6.0,2.0,40.0,2.0,8.0,False,39500.0,2014,CA
52.0,1.0,8.0,1.0,6330.0,303.0,0.0,40.0,1.0,1.0,False,2000.0,2014,CA
25.0,1.0,16.0,1.0,7750.0,34.0,9.0,40.0,1.0,1.0,False,31800.0,2014,CA
46.0,1.0,9.0,1.0,6050.0,303.0,0.0,40.0,1.0,1.0,False,146900.0,2014,CA
60.0,1.0,16.0,1.0,4430.0,209.0,0.0,65.0,1.0,6.0,False,455000.0,2014,CA
50.0,2.0,17.0,5.0,7750.0,6.0,4.0,35.0,1.0,1.0,False,130000.0,2014,CA
55.0,6.0,16.0,1.0,4200.0,6.0,1.0,65.0,1.0,1.0,True,0.0,2014,CA
18.0,1.0,19.0,5.0,5700.0,6.0,2.0,4.0,2.0,1.0,False,24050.0,2014,CA
34.0,1.0,20.0,5.0,350.0,6.0,0.0,45.0,2.0,2.0,False,0.0,2014,CA
63.0,6.0,24.0,1.0,710.0,9.0,1.0,35.0,2.0,1.0,True,,2014,CA
33.0,5.0,16.0,5.0,4230.0,6.0,0.0,33.0,2.0,2.0,False,12000.0,2014,CA
45.0,3.0,22.0,1.0,565.0,6.0,0.0,40.0,2.0,6.0,True,7200.0,2014,CA
41.0,1.0,22.0,1.0,850.0,6.0,0.0,60.0,2.0,1.0,True,,2014,CA
21.0,2.0,19.0,5.0,4110.0,6.0,7.0,25.0,1.0,1.0,False,0.0,2014,CA
24.0,3.0,17.0,5.0,4720.0,6.0,3.0,20.0,1.0,5.0,False,45000.0,2014,CA
28.0,1.0,19.0,5.0,7315.0,6.0,0.0,50.0,1.0,1.0,False,40000.0,2014,CA
21.0,1.0,16.0,5.0,4720.0,6.0,7.0,29.0,2.0,1.0,False,200000.0,2014,CA
70.0,2.0,13.0,5.0,4600.0,41.0,0.0,12.0,1.0,3.0,False,0.0,2014,CA
27.0,1.0,16.0,5.0,4350.0,217.0,0.0,40.0,2.0,6.0,False,68500.0,2014,CA
29.0,1.0,18.0,5.0,4700.0,6.0,2.0,40.0,2.0,1.0,False,55000.0,2014,CA
41.0,1.0,22.0,1.0,800.0,6.0,0.0,45.0,2.0,1.0,True,,2014,CA
35.0,1.0,18.0,1.0,4700.0,6.0,0.0,50.0,1.0,9.0,True,11500.0,2014,CA
52.0,7.0,15.0,3.0,4700.0,6.0,0.0,60.0,1.0,1.0,True,0.0,2014,CA
26.0,1.0,21.0,5.0,3420.0,247.0,5.0,40.0,1.0,6.0,True,140000.0,2014,CA
41.0,1.0,22.0,1.0,430.0,210.0,1.0,75.0,1.0,6.0,True,0.0,2014,CA
35.0,1.0,19.0,1.0,4850.0,6.0,0.0,40.0,1.0,5.0,False,,2014,CA
70.0,7.0,15.0,3.0,6515.0,30.0,0.0,20.0,1.0,1.0,False,0.0,2014,CA
43.0,1.0,21.0,1.0,3255.0,233.0,1.0,50.0,2.0,6.0,True,15100.0,2014,CA
48.0,1.0,19.0,1.0,840.0,6.0,1.0,40.0,2.0,1.0,True,16000.0,2014,CA
24.0,1.0,20.0,5.0,4020.0,6.0,2.0,48.0,2.0,2.0,False,0.0,2014,CA
45.0,1.0,16.0,5.0,4760.0,6.0,2.0,40.0,1.0,9.0,False,,2014,CA
40.0,1.0,19.0,1.0,4760.0,6.0,1.0,55.0,1.0,1.0,False,102150.0,2014,CA
26.0,1.0,19.0,5.0,4760.0,6.0,12.0,45.0,1.0,1.0,True,13100.0,2014,CA
66.0,1.0,9.0,1.0,4220.0,313.0,1.0,30.0,1.0,8.0,False,7000.0,2014,CA
50.0,1.0,16.0,5.0,3930.0,303.0,4.0,30.0,2.0,1.0,False,3000.0,2014,CA
63.0,1.0,22.0,5.0,2850.0,36.0,0.0,40.0,2.0,1.0,True,,2014,CA
47.0,1.0,16.0,1.0,5860.0,6.0,1.0,40.0,2.0,1.0,False,97600.0,2014,CA
37.0,6.0,16.0,1.0,4250.0,303.0,0.0,40.0,1.0,8.0,False,9600.0,2014,CA
36.0,1.0,16.0,5.0,4610.0,6.0,15.0,8.0,1.0,1.0,False,,2014,CA
22.0,1.0,15.0,5.0,4110.0,210.0,7.0,40.0,2.0,6.0,False,8200.0,2014,CA
40.0,6.0,16.0,1.0,6200.0,303.0,0.0,46.0,1.0,1.0,False,99000.0,2014,CA
21.0,5.0,18.0,5.0,7140.0,16.0,17.0,75.0,1.0,1.0,False,,2014,CA
41.0,1.0,20.0,1.0,5620.0,233.0,0.0,25.0,1.0,6.0,False,38000.0,2014,CA
25.0,1.0,16.0,5.0,4430.0,6.0,10.0,35.0,1.0,9.0,False,0.0,2014,CA
61.0,1.0,19.0,1.0,3655.0,303.0,1.0,40.0,2.0,1.0,False,10000.0,2014,CA
43.0,6.0,21.0,1.0,4810.0,6.0,0.0,40.0,2.0,1.0,False,33000.0,2014,CA
21.0,1.0,20.0,1.0,1010.0,370.0,2.0,40.0,1.0,1.0,False,0.0,2014,CA
29.0,6.0,19.0,1.0,2750.0,12.0,0.0,90.0,1.0,1.0,False,27910.0,2014,CA
37.0,1.0,19.0,1.0,410.0,6.0,0.0,40.0,1.0,1.0,True,,2014,CA
64.0,6.0,19.0,1.0,4700.0,223.0,0.0,10.0,1.0,6.0,False,,2014,CA
55.0,1.0,18.0,1.0,7420.0,26.0,0.0,45.0,2.0,1.0,True,,2014,CA
21.0,1.0,16.0,5.0,4020.0,6.0,2.0,10.0,1.0,6.0,False,,2014,CA
22.0,1.0,16.0,5.0,5520.0,6.0,2.0,32.0,2.0,1.0,False,17000.0,2014,CA
48.0,1.0,19.0,1.0,4840.0,6.0,0.0,40.0,2.0,1.0,True,25000.0,2014,CA
26.0,1.0,1.0,1.0,6260.0,312.0,0.0,45.0,1.0,8.0,False,142000.0,2014,CA
54.0,3.0,20.0,1.0,430.0,12.0,0.0,40.0,1.0,1.0,True,0.0,2014,CA
27.0,1.0,19.0,1.0,2300.0,6.0,1.0,40.0,2.0,1.0,False,16200.0,2014,CA
27.0,5.0,19.0,1.0,3850.0,6.0,0.0,50.0,1.0,1.0,True,56000.0,2014,CA
52.0,6.0,16.0,5.0,520.0,6.0,2.0,20.0,1.0,1.0,True,0.0,2014,CA
54.0,7.0,21.0,5.0,8965.0,247.0,0.0,40.0,2.0,6.0,False,140000.0,2014,CA
35.0,1.0,20.0,1.0,710.0,129.0,0.0,40.0,1.0,1.0,True,0.0,2014,CA
43.0,1.0,18.0,3.0,300.0,39.0,0.0,40.0,1.0,1.0,True,2000.0,2014,CA
33.0,3.0,22.0,5.0,710.0,34.0,0.0,40.0,2.0,9.0,True,,2014,CA
26.0,1.0,19.0,5.0,5530.0,6.0,0.0,40.0,1.0,3.0,False,0.0,2014,CA
34.0,6.0,18.0,5.0,6230.0,6.0,16.0,40.0,1.0,1.0,False,97000.0,2014,CA
49.0,6.0,5.0,5.0,4600.0,313.0,0.0,40.0,2.0,1.0,False,20400.0,2014,CA
51.0,1.0,16.0,1.0,7750.0,247.0,0.0,40.0,1.0,6.0,False,0.0,2014,CA
21.0,1.0,16.0,5.0,1107.0,6.0,4.0,40.0,1.0,9.0,False,57800.0,2014,CA
49.0,1.0,16.0,5.0,4220.0,6.0,2.0,40.0,1.0,1.0,False,,2014,CA
51.0,1.0,19.0,1.0,2200.0,212.0,1.0,20.0,2.0,9.0,True,,2014,CA
29.0,3.0,20.0,1.0,3850.0,6.0,0.0,44.0,2.0,9.0,True,,2014,CA
36.0,1.0,16.0,5.0,5860.0,6.0,2.0,25.0,2.0,1.0,False,40000.0,2014,CA
19.0,4.0,19.0,5.0,1050.0,6.0,12.0,15.0,2.0,8.0,False,56000.0,2014,CA
18.0,1.0,19.0,5.0,4760.0,6.0,12.0,24.0,2.0,1.0,False,4900.0,2014,CA
66.0,5.0,21.0,1.0,1550.0,53.0,0.0,40.0,1.0,1.0,True,5004.0,2014,CA
30.0,1.0,21.0,5.0,3930.0,6.0,2.0,25.0,1.0,1.0,False,,2014,CA
59.0,1.0,23.0,1.0,410.0,6.0,1.0,50.0,1.0,2.0,True,2400.0,2014,CA
20.0,1.0,14.0,5.0,6230.0,4.0,2.0,40.0,1.0,1.0,False,10900.0,2014,CA
26.0,1.0,20.0,5.0,3220.0,6.0,0.0,40.0,1.0,8.0,True,29000.0,2014,CA
48.0,1.0,16.0,1.0,3655.0,312.0,1.0,40.0,2.0,1.0,False,,2014,CA
33.0,1.0,9.0,5.0,4750.0,6.0,2.0,40.0,1.0,8.0,True,120000.0,2014,CA
39.0,1.0,21.0,1.0,50.0,48.0,0.0,50.0,1.0,1.0,True,6000.0,2014,CA
37.0,1.0,21.0,1.0,50.0,6.0,1.0,60.0,1.0,1.0,True,32000.0,2014,CA
39.0,5.0,21.0,1.0,3850.0,6.0,1.0,40.0,1.0,1.0,True,6100.0,2014,CA
62.0,1.0,22.0,1.0,10.0,247.0,0.0,40.0,1.0,9.0,True,225000.0,2014,CA
38.0,1.0,22.0,1.0,2340.0,21.0,0.0,20.0,2.0,1.0,False,40000.0,2014,CA
55.0,1.0,16.0,1.0,9620.0,6.0,1.0,40.0,1.0,5.0,False,45000.0,2014,CA
44.0,1.0,12.0,1.0,4000.0,6.0,1.0,40.0,1.0,6.0,False,59500.0,2014,CA
19.0,1.0,19.0,5.0,5700.0,6.0,2.0,40.0,2.0,1.0,False,24000.0,2014,CA
61.0,1.0,21.0,1.0,50.0,6.0,0.0,50.0,1.0,1.0,True,18800.0,2014,CA
61.0,1.0,17.0,1.0,3600.0,6.0,1.0,40.0,2.0,1.0,False,0.0,2014,CA
47.0,1.0,19.0,1.0,4710.0,36.0,0.0,50.0,1.0,2.0,True,0.0,2014,CA
51.0,6.0,16.0,1.0,6260.0,6.0,9.0,12.0,1.0,1.0,False,,2014,CA
65.0,2.0,21.0,1.0,2320.0,36.0,1.0,60.0,1.0,1.0,True,0.0,2014,CA
78.0,6.0,19.0,1.0,2200.0,6.0,1.0,2.0,1.0,1.0,False,0.0,2014,CA
36.0,1.0,9.0,1.0,9620.0,313.0,10.0,40.0,1.0,8.0,False,11500.0,2014,CA
30.0,1.0,21.0,1.0,1030.0,210.0,9.0,40.0,2.0,6.0,True,,2014,CA
28.0,3.0,16.0,1.0,9130.0,6.0,0.0,40.0,1.0,2.0,False,11300.0,2014,CA
71.0,1.0,21.0,1.0,4830.0,6.0,1.0,25.0,2.0,1.0,False,0.0,2014,CA
51.0,1.0,19.0,1.0,5700.0,6.0,0.0,40.0,2.0,1.0,True,10000.0,2014,CA
36.0,2.0,21.0,1.0,2010.0,6.0,1.0,40.0,1.0,1.0,False,50000.0,2014,CA
60.0,1.0,16.0,1.0,4020.0,6.0,10.0,40.0,1.0,1.0,False,66000.0,2014,CA
47.0,3.0,21.0,1.0,2320.0,6.0,0.0,40.0,2.0,1.0,True,29000.0,2014,CA
24.0,1.0,16.0,5.0,8220.0,6.0,2.0,40.0,1.0,1.0,False,2000.0,2014,CA
58.0,2.0,23.0,1.0,2310.0,21.0,1.0,40.0,2.0,1.0,True,,2014,CA
42.0,4.0,22.0,1.0,2310.0,303.0,0.0,52.0,1.0,1.0,True,85000.0,2014,CA
56.0,1.0,21.0,1.0,2145.0,233.0,1.0,40.0,2.0,6.0,False,,2014,CA
33.0,1.0,19.0,1.0,2160.0,6.0,0.0,40.0,1.0,1.0,True,200000.0,2014,CA
22.0,1.0,19.0,5.0,3930.0,6.0,2.0,32.0,2.0,1.0,False,13000.0,2014,CA
67.0,2.0,22.0,1.0,420.0,29.0,1.0,40.0,2.0,1.0,True,0.0,2014,CA
53.0,1.0,20.0,1.0,4020.0,19.0,1.0,17.0,2.0,1.0,False,0.0,2014,CA
36.0,1.0,15.0,5.0,300.0,27.0,13.0,40.0,1.0,1.0,True,26600.0,2014,CA
28.0,1.0,19.0,5.0,4230.0,303.0,11.0,40.0,2.0,8.0,False,0.0,2014,CA
59.0,4.0,21.0,1.0,5620.0,6.0,1.0,10.0,2.0,2.0,False,9500.0,2014,CA
40.0,1.0,12.0,5.0,6050.0,6.0,2.0,60.0,1.0,8.0,False,14000.0,2014,CA
62.0,1.0,16.0,1.0,4030.0,207.0,6.0,25.0,1.0,6.0,False,138120.0,2014,CA
52.0,1.0,23.0,1.0,3050.0,164.0,0.0,40.0,1.0,1.0,True,20700.0,2014,CA
41.0,4.0,24.0,1.0,1700.0,42.0,0.0,50.0,1.0,1.0,True,18000.0,2014,CA
49.0,1.0,21.0,5.0,1650.0,233.0,0.0,40.0,1.0,6.0,True,1400.0,2014,CA
45.0,6.0,5.0,5.0,6260.0,312.0,0.0,40.0,1.0,8.0,False,,2014,CA
48.0,1.0,11.0,1.0,4140.0,303.0,0.0,35.0,2.0,1.0,False,13520.0,2014,CA
34.0,5.0,19.0,1.0,4220.0,6.0,0.0,40.0,1.0,1.0,False,384000.0,2014,CA
28.0,2.0,20.0,1.0,3255.0,303.0,0.0,32.0,2.0,1.0,True,19000.0,2014,CA
25.0,1.0,21.0,5.0,4700.0,8.0,2.0,35.0,1.0,1.0,False,,2014,CA
46.0,1.0,16.0,1.0,8965.0,6.0,1.0,40.0,1.0,9.0,False,0.0,2014,CA
32.0,6.0,13.0,1.0,4250.0,303.0,0.0,32.0,1.0,1.0,False,25000.0,2014,CA
59.0,4.0,24.0,1.0,430.0,17.0,0.0,50.0,1.0,1.0,True,130000.0,2014,CA
36.0,1.0,22.0,1.0,4820.0,1.0,0.0,50.0,2.0,1.0,True,,2014,CA
56.0,6.0,19.0,1.0,410.0,6.0,0.0,32.0,1.0,1.0,True,455000.0,2014,CA
19.0,1.0,16.0,5.0,4900.0,6.0,2.0,20.0,2.0,1.0,False,,2014,CA
54.0,1.0,16.0,1.0,4010.0,6.0,0.0,35.0,2.0,1.0,False,980.0,2014,CA
21.0,1.0,19.0,5.0,5610.0,303.0,2.0,40.0,1.0,1.0,False,18700.0,2014,CA
40.0,6.0,13.0,1.0,4020.0,4.0,1.0,45.0,1.0,1.0,False,10000.0,2014,CA
30.0,5.0,16.0,5.0,5540.0,6.0,0.0,36.0,1.0,2.0,False,65000.0,2014,CA
27.0,1.0,17.0,5.0,9130.0,6.0,0.0,80.0,1.0,1.0,False,49200.0,2014,CA
23.0,2.0,21.0,5.0,4700.0,6.0,0.0,40.0,2.0,1.0,False,1500.0,2014,CA
73.0,6.0,9.0,1.0,6230.0,313.0,0.0,40.0,1.0,8.0,False,24400.0,2014,CA
33.0,1.0,24.0,1.0,2340.0,217.0,1.0,6.0,2.0,6.0,False,40000.0,2014,CA
23.0,2.0,20.0,1.0,5400.0,6.0,0.0,18.0,2.0,8.0,False,56000.0,2014,CA
32.0,1.0,18.0,1.0,6050.0,6.0,0.0,55.0,1.0,1.0,False,0.0,2014,CA
32.0,1.0,21.0,5.0,3645.0,6.0,13.0,40.0,2.0,6.0,True,65000.0,2014,CA
31.0,1.0,1.0,1.0,7260.0,6.0,0.0,40.0,1.0,1.0,False,5400.0,2014,CA
52.0,1.0,16.0,3.0,6320.0,6.0,0.0,45.0,1.0,1.0,False,,2014,CA
54.0,4.0,21.0,3.0,1360.0,233.0,0.0,40.0,1.0,6.0,True,14100.0,2014,CA
22.0,1.0,16.0,1.0,6260.0,6.0,2.0,40.0,1.0,1.0,False,0.0,2014,CA
24.0,2.0,21.0,5.0,1965.0,6.0,2.0,40.0,2.0,6.0,False,85000.0,2014,CA
57.0,2.0,21.0,5.0,3255.0,110.0,0.0,32.0,2.0,1.0,True,6000.0,2014,CA
45.0,2.0,21.0,3.0,850.0,6.0,11.0,40.0,2.0,1.0,True,80000.0,2014,CA
33.0,7.0,21.0,1.0,430.0,6.0,0.0,40.0,1.0,1.0,True,,2014,CA
28.0,6.0,19.0,5.0,205.0,36.0,12.0,35.0,1.0,1.0,False,39000.0,2014,CA
55.0,1.0,19.0,1.0,3640.0,6.0,1.0,40.0,2.0,1.0,False,36000.0,2014,CA
51.0,6.0,18.0,1.0,8450.0,6.0,0.0,20.0,1.0,1.0,False,0.0,2014,CA
36.0,1.0,21.0,1.0,4820.0,4.0,0.0,40.0,2.0,1.0,True,0.0,2014,CA
43.0,7.0,19.0,1.0,4220.0,24.0,0.0,50.0,1.0,1.0,False,12000.0,2014,CA
40.0,2.0,23.0,3.0,540.0,6.0,13.0,40.0,2.0,9.0,False,,2014,CA
44.0,6.0,21.0,5.0,1410.0,363.0,0.0,30.0,1.0,1.0,False,0.0,2014,CA
18.0,3.0,18.0,5.0,3955.0,6.0,2.0,40.0,1.0,1.0,False,,2014,CA
68.0,4.0,22.0,1.0,230.0,6.0,0.0,36.0,2.0,1.0,True,63000.0,2014,CA
39.0,1.0,21.0,1.0,3255.0,233.0,1.0,40.0,2.0,6.0,True,0.0,2014,CA
27.0,1.0,21.0,5.0,5240.0,233.0,11.0,40.0,1.0,6.0,False,32700.0,2014,CA
53.0,1.0,22.0,5.0,230.0,1.0,17.0,40.0,1.0,1.0,True,29000.0,2014,CA
38.0,1.0,16.0,3.0,5260.0,6.0,0.0,40.0,2.0,1.0,False,120000.0,2014,CA
40.0,1.0,20.0,3.0,4810.0,164.0,0.0,40.0,1.0,1.0,True,36800.0,2014,CA
32.0,1.0,19.0,1.0,4030.0,6.0,1.0,30.0,1.0,1.0,False,88000.0,2014,CA
37.0,1.0,21.0,1.0,1020.0,17.0,0.0,65.0,1.0,1.0,True,2400.0,2014,CA
53.0,1.0,15.0,1.0,310.0,303.0,1.0,40.0,1.0,1.0,False,75000.0,2014,CA
51.0,1.0,16.0,1.0,5240.0,6.0,1.0,30.0,2.0,1.0,False,24100.0,2014,CA
48.0,1.0,21.0,1.0,20.0,53.0,0.0,50.0,1.0,1.0,True,6400.0,2014,CA
22.0,1.0,18.0,5.0,4850.0,6.0,2.0,40.0,2.0,1.0,False,65000.0,2014,CA
54.0,3.0,21.0,1.0,2310.0,6.0,0.0,35.0,1.0,1.0,True,,2014,CA
65.0,6.0,23.0,1.0,2100.0,30.0,1.0,50.0,1.0,1.0,False,45000.0,2014,CA
28.0,1.0,21.0,5.0,20.0,6.0,12.0,45.0,2.0,1.0,False,,2014,CA
30.0,1.0,17.0,5.0,4000.0,303.0,12.0,50.0,1.0,1.0,False,61000.0,2014,CA
18.0,1.0,16.0,5.0,4050.0,6.0,2.0,32.0,2.0,8.0,False,0.0,2014,CA
39.0,1.0,22.0,1.0,430.0,6.0,0.0,50.0,1.0,7.0,True,52000.0,2014,CA
38.0,1.0,19.0,1.0,9140.0,110.0,0.0,40.0,2.0,1.0,False,91000.0,2014,CA
66.0,1.0,19.0,1.0,4760.0,233.0,1.0,16.0,1.0,6.0,True,55000.0,2014,CA
37.0,4.0,22.0,1.0,2310.0,6.0,1.0,40.0,2.0,1.0,True,25900.0,2014,CA
65.0,6.0,19.0,5.0,4430.0,20.0,0.0,4.0,1.0,1.0,False,0.0,2014,CA
57.0,1.0,7.0,1.0,7900.0,303.0,6.0,40.0,1.0,1.0,True,10000.0,2014,CA
50.0,1.0,10.0,3.0,6050.0,303.0,13.0,40.0,1.0,1.0,False,76900.0,2014,CA
46.0,1.0,20.0,5.0,7720.0,233.0,15.0,35.0,1.0,6.0,False,,2014,CA
42.0,2.0,17.0,3.0,8220.0,303.0,2.0,40.0,1.0,1.0,False,25200.0,2014,CA
31.0,1.0,21.0,1.0,530.0,207.0,0.0,40.0,2.0,6.0,False,45000.0,2014,CA
25.0,1.0,18.0,1.0,310.0,6.0,2.0,15.0,2.0,1.0,False,,2014,CA
48.0,4.0,23.0,1.0,2100.0,49.0,1.0,45.0,1.0,1.0,True,,2014,CA
52.0,1.0,9.0,1.0,4740.0,303.0,0.0,40.0,1.0,1.0,False,20000.0,2014,CA
35.0,1.0,17.0,5.0,430.0,6.0,12.0,40.0,1.0,1.0,False,87080.0,2014,CA
39.0,1.0,14.0,1.0,2720.0,6.0,1.0,14.0,1.0,8.0,False,,2014,CA
60.0,1.0,19.0,3.0,630.0,26.0,0.0,40.0,2.0,1.0,False,25200.0,2014,CA
38.0,3.0,22.0,1.0,2310.0,6.0,0.0,44.0,2.0,1.0,False,90000.0,2014,CA
53.0,1.0,19.0,1.0,5000.0,33.0,0.0,55.0,1.0,1.0,True,0.0,2014,CA
37.0,1.0,16.0,1.0,4700.0,6.0,5.0,40.0,2.0,1.0,False,0.0,2014,CA
32.0,2.0,22.0,1.0,2010.0,6.0,0.0,40.0,2.0,8.0,True,113000.0,2014,CA
49.0,7.0,21.0,5.0,10.0,20.0,13.0,40.0,1.0,1.0,True,30700.0,2014,CA
33.0,1.0,22.0,1.0,710.0,110.0,0.0,50.0,2.0,1.0,True,33000.0,2014,CA
35.0,4.0,22.0,1.0,725.0,6.0,1.0,40.0,2.0,1.0,False,10500.0,2014,CA
30.0,6.0,23.0,5.0,2105.0,6.0,2.0,35.0,2.0,8.0,False,73700.0,2014,CA
26.0,1.0,21.0,1.0,740.0,6.0,0.0,52.0,1.0,1.0,True,29270.0,2014,CA
51.0,2.0,24.0,1.0,2000.0,42.0,1.0,40.0,1.0,1.0,True,38000.0,2014,CA
43.0,3.0,21.0,1.0,1920.0,6.0,0.0,50.0,1.0,8.0,True,20000.0,2014,CA
54.0,1.0,21.0,3.0,4965.0,34.0,0.0,40.0,2.0,1.0,False,64000.0,2014,CA
32.0,1.0,12.0,1.0,4250.0,303.0,1.0,40.0,1.0,8.0,False,0.0,2014,CA
60.0,7.0,9.0,1.0,4700.0,41.0,0.0,40.0,2.0,1.0,True,50000.0,2014,CA
38.0,1.0,16.0,5.0,8810.0,303.0,0.0,40.0,1.0,8.0,False,3800.0,2014,CA
36.0,3.0,21.0,1.0,3850.0,6.0,0.0,45.0,1.0,1.0,True,23000.0,2014,CA
44.0,1.0,21.0,3.0,9130.0,459.0,0.0,60.0,1.0,2.0,True,68000.0,2014,CA
50.0,1.0,21.0,1.0,2760.0,42.0,0.0,45.0,1.0,1.0,True,3600.0,2014,CA
41.0,4.0,21.0,1.0,2310.0,6.0,1.0,20.0,2.0,9.0,False,,2014,CA
58.0,1.0,21.0,3.0,710.0,6.0,0.0,40.0,2.0,1.0,True,58100.0,2014,CA
27.0,1.0,19.0,1.0,3535.0,233.0,10.0,48.0,2.0,6.0,False,,2014,CA
55.0,1.0,22.0,1.0,1530.0,139.0,1.0,40.0,1.0,1.0,True,81000.0,2014,CA
62.0,2.0,19.0,1.0,230.0,6.0,0.0,48.0,1.0,1.0,True,,2014,CA
46.0,1.0,22.0,1.0,1020.0,6.0,0.0,30.0,2.0,1.0,True,25000.0,2014,CA
29.0,1.0,20.0,5.0,4700.0,6.0,2.0,40.0,2.0,6.0,False,200000.0,2014,CA
54.0,7.0,21.0,3.0,4920.0,240.0,0.0,40.0,2.0,6.0,True,126960.0,2014,CA
43.0,6.0,20.0,1.0,4700.0,217.0,1.0,40.0,2.0,6.0,False,,2014,CA
20.0,3.0,17.0,5.0,2200.0,6.0,2.0,29.0,2.0,8.0,False,19200.0,2014,CA
54.0,2.0,19.0,1.0,2310.0,6.0,1.0,60.0,1.0,3.0,True,5800.0,2014,CA
23.0,1.0,21.0,5.0,800.0,6.0,2.0,40.0,1.0,6.0,True,50000.0,2014,CA
34.0,1.0,21.0,1.0,2850.0,6.0,1.0,40.0,2.0,8.0,False,41000.0,2014,CA
55.0,2.0,21.0,5.0,230.0,6.0,0.0,40.0,2.0,1.0,True,0.0,2014,CA
49.0,1.0,1.0,1.0,6420.0,313.0,0.0,34.0,1.0,1.0,False,79000.0,2014,CA
47.0,3.0,20.0,1.0,5400.0,303.0,1.0,40.0,2.0,1.0,False,44000.0,2014,CA
41.0,1.0,21.0,1.0,50.0,6.0,0.0,50.0,1.0,1.0,True,55000.0,2014,CA
19.0,1.0,19.0,5.0,4110.0,6.0,2.0,16.0,2.0,1.0,False,,2014,CA
56.0,1.0,18.0,2.0,4610.0,6.0,0.0,25.0,2.0,9.0,False,96000.0,2014,CA
41.0,1.0,19.0,5.0,4120.0,233.0,13.0,40.0,2.0,6.0,False,17000.0,2014,CA
61.0,2.0,24.0,1.0,2040.0,26.0,0.0,45.0,1.0,1.0,True,94000.0,2014,CA
51.0,4.0,19.0,4.0,2000.0,30.0,0.0,41.0,1.0,2.0,True,48000.0,2014,CA
41.0,3.0,21.0,5.0,4520.0,207.0,0.0,45.0,1.0,6.0,True,46000.0,2014,CA
60.0,1.0,14.0,1.0,7330.0,207.0,6.0,40.0,1.0,6.0,False,1300.0,2014,CA
36.0,1.0,14.0,1.0,6230.0,6.0,1.0,40.0,1.0,8.0,False,,2014,CA
