Year,State,Model,Response,Actual_Label,Gender,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
2014,CA,Gemma2B,Below,Below,Male,50.0,5.0,19.0,1.0,430.0,6.0,1.0,50.0,1.0,9.0,45000.0
2014,CA,Gemma2B,Below,Below,Female,46.0,1.0,23.0,1.0,3060.0,212.0,0.0,19.0,2.0,1.0,0.0
2014,CA,Gemma2B,Above,Above,Female,46.0,1.0,9.0,1.0,8220.0,303.0,10.0,40.0,2.0,8.0,183000.0
2014,CA,Gemma2B,Below,Below,Female,29.0,1.0,20.0,5.0,3500.0,233.0,0.0,40.0,2.0,6.0,0.0
2014,CA,Gemma2B,Below,Below,Female,29.0,1.0,16.0,1.0,3630.0,6.0,1.0,30.0,2.0,1.0,
2014,CA,Gemma2B,Below,Below,Female,38.0,1.0,20.0,1.0,3200.0,6.0,0.0,40.0,2.0,1.0,
2014,CA,Gemma2B,Below,Below,Female,61.0,6.0,1.0,1.0,4220.0,207.0,12.0,10.0,2.0,6.0,0.0
2014,CA,Gemma2B,Below,Below,Female,28.0,3.0,22.0,5.0,2000.0,6.0,2.0,40.0,2.0,1.0,36000.0
2014,CA,Gemma2B,Below,Below,Female,21.0,3.0,16.0,5.0,2540.0,6.0,2.0,20.0,2.0,1.0,17000.0
2014,CA,Gemma2B,Above,Above,Male,23.0,1.0,9.0,5.0,6050.0,6.0,0.0,40.0,1.0,1.0,60000.0
2014,CA,Gemma2B,Below,Below,Female,25.0,1.0,21.0,5.0,5140.0,6.0,2.0,40.0,2.0,8.0,39500.0
2014,CA,Gemma2B,Below,Below,Male,52.0,1.0,8.0,1.0,6330.0,303.0,0.0,40.0,1.0,1.0,2000.0
2014,CA,Gemma2B,Below,Below,Male,25.0,1.0,16.0,1.0,7750.0,34.0,9.0,40.0,1.0,1.0,31800.0
2014,CA,Gemma2B,Above,Above,Male,46.0,1.0,9.0,1.0,6050.0,303.0,0.0,40.0,1.0,1.0,146900.0
2014,CA,Gemma2B,Below,Above,Male,60.0,1.0,16.0,1.0,4430.0,209.0,0.0,65.0,1.0,6.0,455000.0
2014,CA,Gemma2B,Above,Above,Male,50.0,2.0,17.0,5.0,7750.0,6.0,4.0,35.0,1.0,1.0,130000.0
2014,CA,Gemma2B,Above,Below,Male,55.0,6.0,16.0,1.0,4200.0,6.0,1.0,65.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Female,18.0,1.0,19.0,5.0,5700.0,6.0,2.0,4.0,2.0,1.0,24050.0
2014,CA,Gemma2B,Below,Below,Female,34.0,1.0,20.0,5.0,350.0,6.0,0.0,45.0,2.0,2.0,0.0
2014,CA,Gemma2B,Above,Below,Female,63.0,6.0,24.0,1.0,710.0,9.0,1.0,35.0,2.0,1.0,
2014,CA,Gemma2B,Below,Below,Female,33.0,5.0,16.0,5.0,4230.0,6.0,0.0,33.0,2.0,2.0,12000.0
2014,CA,Gemma2B,Above,Below,Female,45.0,3.0,22.0,1.0,565.0,6.0,0.0,40.0,2.0,6.0,7200.0
2014,CA,Gemma2B,Above,Below,Female,41.0,1.0,22.0,1.0,850.0,6.0,0.0,60.0,2.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,21.0,2.0,19.0,5.0,4110.0,6.0,7.0,25.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Male,24.0,3.0,17.0,5.0,4720.0,6.0,3.0,20.0,1.0,5.0,45000.0
2014,CA,Gemma2B,Below,Below,Male,28.0,1.0,19.0,5.0,7315.0,6.0,0.0,50.0,1.0,1.0,40000.0
2014,CA,Gemma2B,Below,Above,Female,21.0,1.0,16.0,5.0,4720.0,6.0,7.0,29.0,2.0,1.0,200000.0
2014,CA,Gemma2B,Below,Below,Male,70.0,2.0,13.0,5.0,4600.0,41.0,0.0,12.0,1.0,3.0,0.0
2014,CA,Gemma2B,Below,Above,Female,27.0,1.0,16.0,5.0,4350.0,217.0,0.0,40.0,2.0,6.0,68500.0
2014,CA,Gemma2B,Below,Above,Female,29.0,1.0,18.0,5.0,4700.0,6.0,2.0,40.0,2.0,1.0,55000.0
2014,CA,Gemma2B,Above,Below,Female,41.0,1.0,22.0,1.0,800.0,6.0,0.0,45.0,2.0,1.0,
2014,CA,Gemma2B,Above,Below,Male,35.0,1.0,18.0,1.0,4700.0,6.0,0.0,50.0,1.0,9.0,11500.0
2014,CA,Gemma2B,Above,Below,Male,52.0,7.0,15.0,3.0,4700.0,6.0,0.0,60.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Above,Male,26.0,1.0,21.0,5.0,3420.0,247.0,5.0,40.0,1.0,6.0,140000.0
2014,CA,Gemma2B,Above,Below,Male,41.0,1.0,22.0,1.0,430.0,210.0,1.0,75.0,1.0,6.0,0.0
2014,CA,Gemma2B,Below,Below,Male,35.0,1.0,19.0,1.0,4850.0,6.0,0.0,40.0,1.0,5.0,
2014,CA,Gemma2B,Below,Below,Male,70.0,7.0,15.0,3.0,6515.0,30.0,0.0,20.0,1.0,1.0,0.0
2014,CA,Gemma2B,Above,Below,Female,43.0,1.0,21.0,1.0,3255.0,233.0,1.0,50.0,2.0,6.0,15100.0
2014,CA,Gemma2B,Below,Below,Female,48.0,1.0,19.0,1.0,840.0,6.0,1.0,40.0,2.0,1.0,16000.0
2014,CA,Gemma2B,Above,Below,Female,24.0,1.0,20.0,5.0,4020.0,6.0,2.0,48.0,2.0,2.0,0.0
2014,CA,Gemma2B,Below,Below,Male,45.0,1.0,16.0,5.0,4760.0,6.0,2.0,40.0,1.0,9.0,
2014,CA,Gemma2B,Above,Above,Male,40.0,1.0,19.0,1.0,4760.0,6.0,1.0,55.0,1.0,1.0,102150.0
2014,CA,Gemma2B,Below,Below,Male,26.0,1.0,19.0,5.0,4760.0,6.0,12.0,45.0,1.0,1.0,13100.0
2014,CA,Gemma2B,Below,Below,Male,66.0,1.0,9.0,1.0,4220.0,313.0,1.0,30.0,1.0,8.0,7000.0
2014,CA,Gemma2B,Below,Below,Female,50.0,1.0,16.0,5.0,3930.0,303.0,4.0,30.0,2.0,1.0,3000.0
2014,CA,Gemma2B,Below,Below,Female,63.0,1.0,22.0,5.0,2850.0,36.0,0.0,40.0,2.0,1.0,
2014,CA,Gemma2B,Above,Above,Female,47.0,1.0,16.0,1.0,5860.0,6.0,1.0,40.0,2.0,1.0,97600.0
2014,CA,Gemma2B,Above,Below,Male,37.0,6.0,16.0,1.0,4250.0,303.0,0.0,40.0,1.0,8.0,9600.0
2014,CA,Gemma2B,Below,Below,Male,36.0,1.0,16.0,5.0,4610.0,6.0,15.0,8.0,1.0,1.0,
2014,CA,Gemma2B,Below,Below,Female,22.0,1.0,15.0,5.0,4110.0,210.0,7.0,40.0,2.0,6.0,8200.0
2014,CA,Gemma2B,Below,Above,Male,40.0,6.0,16.0,1.0,6200.0,303.0,0.0,46.0,1.0,1.0,99000.0
2014,CA,Gemma2B,Below,Below,Male,21.0,5.0,18.0,5.0,7140.0,16.0,17.0,75.0,1.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,41.0,1.0,20.0,1.0,5620.0,233.0,0.0,25.0,1.0,6.0,38000.0
2014,CA,Gemma2B,Below,Below,Male,25.0,1.0,16.0,5.0,4430.0,6.0,10.0,35.0,1.0,9.0,0.0
2014,CA,Gemma2B,Above,Below,Female,61.0,1.0,19.0,1.0,3655.0,303.0,1.0,40.0,2.0,1.0,10000.0
2014,CA,Gemma2B,Below,Below,Female,43.0,6.0,21.0,1.0,4810.0,6.0,0.0,40.0,2.0,1.0,33000.0
2014,CA,Gemma2B,Below,Below,Male,21.0,1.0,20.0,1.0,1010.0,370.0,2.0,40.0,1.0,1.0,0.0
2014,CA,Gemma2B,Above,Below,Male,29.0,6.0,19.0,1.0,2750.0,12.0,0.0,90.0,1.0,1.0,27910.0
2014,CA,Gemma2B,Above,Below,Male,37.0,1.0,19.0,1.0,410.0,6.0,0.0,40.0,1.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,64.0,6.0,19.0,1.0,4700.0,223.0,0.0,10.0,1.0,6.0,
2014,CA,Gemma2B,Above,Below,Female,55.0,1.0,18.0,1.0,7420.0,26.0,0.0,45.0,2.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,21.0,1.0,16.0,5.0,4020.0,6.0,2.0,10.0,1.0,6.0,
2014,CA,Gemma2B,Below,Below,Female,22.0,1.0,16.0,5.0,5520.0,6.0,2.0,32.0,2.0,1.0,17000.0
2014,CA,Gemma2B,Above,Below,Female,48.0,1.0,19.0,1.0,4840.0,6.0,0.0,40.0,2.0,1.0,25000.0
2014,CA,Gemma2B,Below,Above,Male,26.0,1.0,1.0,1.0,6260.0,312.0,0.0,45.0,1.0,8.0,142000.0
2014,CA,Gemma2B,Below,Below,Male,54.0,3.0,20.0,1.0,430.0,12.0,0.0,40.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Female,27.0,1.0,19.0,1.0,2300.0,6.0,1.0,40.0,2.0,1.0,16200.0
2014,CA,Gemma2B,Above,Above,Male,27.0,5.0,19.0,1.0,3850.0,6.0,0.0,50.0,1.0,1.0,56000.0
2014,CA,Gemma2B,Below,Below,Male,52.0,6.0,16.0,5.0,520.0,6.0,2.0,20.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Above,Female,54.0,7.0,21.0,5.0,8965.0,247.0,0.0,40.0,2.0,6.0,140000.0
2014,CA,Gemma2B,Above,Below,Male,35.0,1.0,20.0,1.0,710.0,129.0,0.0,40.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Male,43.0,1.0,18.0,3.0,300.0,39.0,0.0,40.0,1.0,1.0,2000.0
2014,CA,Gemma2B,Below,Below,Female,33.0,3.0,22.0,5.0,710.0,34.0,0.0,40.0,2.0,9.0,
2014,CA,Gemma2B,Below,Below,Male,26.0,1.0,19.0,5.0,5530.0,6.0,0.0,40.0,1.0,3.0,0.0
2014,CA,Gemma2B,Above,Above,Male,34.0,6.0,18.0,5.0,6230.0,6.0,16.0,40.0,1.0,1.0,97000.0
2014,CA,Gemma2B,Below,Below,Female,49.0,6.0,5.0,5.0,4600.0,313.0,0.0,40.0,2.0,1.0,20400.0
2014,CA,Gemma2B,Below,Below,Male,51.0,1.0,16.0,1.0,7750.0,247.0,0.0,40.0,1.0,6.0,0.0
2014,CA,Gemma2B,Below,Above,Male,21.0,1.0,16.0,5.0,1107.0,6.0,4.0,40.0,1.0,9.0,57800.0
2014,CA,Gemma2B,Below,Below,Male,49.0,1.0,16.0,5.0,4220.0,6.0,2.0,40.0,1.0,1.0,
2014,CA,Gemma2B,Below,Below,Female,51.0,1.0,19.0,1.0,2200.0,212.0,1.0,20.0,2.0,9.0,
2014,CA,Gemma2B,Below,Below,Female,29.0,3.0,20.0,1.0,3850.0,6.0,0.0,44.0,2.0,9.0,
2014,CA,Gemma2B,Below,Below,Female,36.0,1.0,16.0,5.0,5860.0,6.0,2.0,25.0,2.0,1.0,40000.0
2014,CA,Gemma2B,Below,Above,Female,19.0,4.0,19.0,5.0,1050.0,6.0,12.0,15.0,2.0,8.0,56000.0
2014,CA,Gemma2B,Below,Below,Female,18.0,1.0,19.0,5.0,4760.0,6.0,12.0,24.0,2.0,1.0,4900.0
2014,CA,Gemma2B,Below,Below,Male,66.0,5.0,21.0,1.0,1550.0,53.0,0.0,40.0,1.0,1.0,5004.0
2014,CA,Gemma2B,Below,Below,Male,30.0,1.0,21.0,5.0,3930.0,6.0,2.0,25.0,1.0,1.0,
2014,CA,Gemma2B,Above,Below,Male,59.0,1.0,23.0,1.0,410.0,6.0,1.0,50.0,1.0,2.0,2400.0
2014,CA,Gemma2B,Below,Below,Male,20.0,1.0,14.0,5.0,6230.0,4.0,2.0,40.0,1.0,1.0,10900.0
2014,CA,Gemma2B,Below,Below,Male,26.0,1.0,20.0,5.0,3220.0,6.0,0.0,40.0,1.0,8.0,29000.0
2014,CA,Gemma2B,Below,Below,Female,48.0,1.0,16.0,1.0,3655.0,312.0,1.0,40.0,2.0,1.0,
2014,CA,Gemma2B,Above,Above,Male,33.0,1.0,9.0,5.0,4750.0,6.0,2.0,40.0,1.0,8.0,120000.0
2014,CA,Gemma2B,Above,Below,Male,39.0,1.0,21.0,1.0,50.0,48.0,0.0,50.0,1.0,1.0,6000.0
2014,CA,Gemma2B,Above,Below,Male,37.0,1.0,21.0,1.0,50.0,6.0,1.0,60.0,1.0,1.0,32000.0
2014,CA,Gemma2B,Below,Below,Male,39.0,5.0,21.0,1.0,3850.0,6.0,1.0,40.0,1.0,1.0,6100.0
2014,CA,Gemma2B,Below,Above,Male,62.0,1.0,22.0,1.0,10.0,247.0,0.0,40.0,1.0,9.0,225000.0
2014,CA,Gemma2B,Below,Below,Female,38.0,1.0,22.0,1.0,2340.0,21.0,0.0,20.0,2.0,1.0,40000.0
2014,CA,Gemma2B,Below,Below,Male,55.0,1.0,16.0,1.0,9620.0,6.0,1.0,40.0,1.0,5.0,45000.0
2014,CA,Gemma2B,Above,Above,Male,44.0,1.0,12.0,1.0,4000.0,6.0,1.0,40.0,1.0,6.0,59500.0
2014,CA,Gemma2B,Below,Below,Female,19.0,1.0,19.0,5.0,5700.0,6.0,2.0,40.0,2.0,1.0,24000.0
2014,CA,Gemma2B,Below,Below,Male,61.0,1.0,21.0,1.0,50.0,6.0,0.0,50.0,1.0,1.0,18800.0
2014,CA,Gemma2B,Below,Below,Female,61.0,1.0,17.0,1.0,3600.0,6.0,1.0,40.0,2.0,1.0,0.0
2014,CA,Gemma2B,Above,Below,Male,47.0,1.0,19.0,1.0,4710.0,36.0,0.0,50.0,1.0,2.0,0.0
2014,CA,Gemma2B,Below,Below,Male,51.0,6.0,16.0,1.0,6260.0,6.0,9.0,12.0,1.0,1.0,
2014,CA,Gemma2B,Above,Below,Male,65.0,2.0,21.0,1.0,2320.0,36.0,1.0,60.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Male,78.0,6.0,19.0,1.0,2200.0,6.0,1.0,2.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Male,36.0,1.0,9.0,1.0,9620.0,313.0,10.0,40.0,1.0,8.0,11500.0
2014,CA,Gemma2B,Below,Below,Female,30.0,1.0,21.0,1.0,1030.0,210.0,9.0,40.0,2.0,6.0,
2014,CA,Gemma2B,Below,Below,Male,28.0,3.0,16.0,1.0,9130.0,6.0,0.0,40.0,1.0,2.0,11300.0
2014,CA,Gemma2B,Below,Below,Female,71.0,1.0,21.0,1.0,4830.0,6.0,1.0,25.0,2.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Female,51.0,1.0,19.0,1.0,5700.0,6.0,0.0,40.0,2.0,1.0,10000.0
2014,CA,Gemma2B,Above,Below,Male,36.0,2.0,21.0,1.0,2010.0,6.0,1.0,40.0,1.0,1.0,50000.0
2014,CA,Gemma2B,Below,Above,Male,60.0,1.0,16.0,1.0,4020.0,6.0,10.0,40.0,1.0,1.0,66000.0
2014,CA,Gemma2B,Below,Below,Female,47.0,3.0,21.0,1.0,2320.0,6.0,0.0,40.0,2.0,1.0,29000.0
2014,CA,Gemma2B,Below,Below,Male,24.0,1.0,16.0,5.0,8220.0,6.0,2.0,40.0,1.0,1.0,2000.0
2014,CA,Gemma2B,Above,Below,Female,58.0,2.0,23.0,1.0,2310.0,21.0,1.0,40.0,2.0,1.0,
2014,CA,Gemma2B,Above,Above,Male,42.0,4.0,22.0,1.0,2310.0,303.0,0.0,52.0,1.0,1.0,85000.0
2014,CA,Gemma2B,Above,Below,Female,56.0,1.0,21.0,1.0,2145.0,233.0,1.0,40.0,2.0,6.0,
2014,CA,Gemma2B,Below,Above,Male,33.0,1.0,19.0,1.0,2160.0,6.0,0.0,40.0,1.0,1.0,200000.0
2014,CA,Gemma2B,Below,Below,Female,22.0,1.0,19.0,5.0,3930.0,6.0,2.0,32.0,2.0,1.0,13000.0
2014,CA,Gemma2B,Below,Below,Female,67.0,2.0,22.0,1.0,420.0,29.0,1.0,40.0,2.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Female,53.0,1.0,20.0,1.0,4020.0,19.0,1.0,17.0,2.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Male,36.0,1.0,15.0,5.0,300.0,27.0,13.0,40.0,1.0,1.0,26600.0
2014,CA,Gemma2B,Below,Below,Female,28.0,1.0,19.0,5.0,4230.0,303.0,11.0,40.0,2.0,8.0,0.0
2014,CA,Gemma2B,Above,Below,Female,59.0,4.0,21.0,1.0,5620.0,6.0,1.0,10.0,2.0,2.0,9500.0
2014,CA,Gemma2B,Above,Below,Male,40.0,1.0,12.0,5.0,6050.0,6.0,2.0,60.0,1.0,8.0,14000.0
2014,CA,Gemma2B,Below,Above,Male,62.0,1.0,16.0,1.0,4030.0,207.0,6.0,25.0,1.0,6.0,138120.0
2014,CA,Gemma2B,Below,Below,Male,52.0,1.0,23.0,1.0,3050.0,164.0,0.0,40.0,1.0,1.0,20700.0
2014,CA,Gemma2B,Above,Below,Male,41.0,4.0,24.0,1.0,1700.0,42.0,0.0,50.0,1.0,1.0,18000.0
2014,CA,Gemma2B,Above,Below,Male,49.0,1.0,21.0,5.0,1650.0,233.0,0.0,40.0,1.0,6.0,1400.0
2014,CA,Gemma2B,Below,Below,Male,45.0,6.0,5.0,5.0,6260.0,312.0,0.0,40.0,1.0,8.0,
2014,CA,Gemma2B,Below,Below,Female,48.0,1.0,11.0,1.0,4140.0,303.0,0.0,35.0,2.0,1.0,13520.0
2014,CA,Gemma2B,Below,Above,Male,34.0,5.0,19.0,1.0,4220.0,6.0,0.0,40.0,1.0,1.0,384000.0
2014,CA,Gemma2B,Above,Below,Female,28.0,2.0,20.0,1.0,3255.0,303.0,0.0,32.0,2.0,1.0,19000.0
2014,CA,Gemma2B,Below,Below,Male,25.0,1.0,21.0,5.0,4700.0,8.0,2.0,35.0,1.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,46.0,1.0,16.0,1.0,8965.0,6.0,1.0,40.0,1.0,9.0,0.0
2014,CA,Gemma2B,Below,Below,Male,32.0,6.0,13.0,1.0,4250.0,303.0,0.0,32.0,1.0,1.0,25000.0
2014,CA,Gemma2B,Above,Above,Male,59.0,4.0,24.0,1.0,430.0,17.0,0.0,50.0,1.0,1.0,130000.0
2014,CA,Gemma2B,Below,Below,Female,36.0,1.0,22.0,1.0,4820.0,1.0,0.0,50.0,2.0,1.0,
2014,CA,Gemma2B,Below,Above,Male,56.0,6.0,19.0,1.0,410.0,6.0,0.0,32.0,1.0,1.0,455000.0
2014,CA,Gemma2B,Below,Below,Female,19.0,1.0,16.0,5.0,4900.0,6.0,2.0,20.0,2.0,1.0,
2014,CA,Gemma2B,Below,Below,Female,54.0,1.0,16.0,1.0,4010.0,6.0,0.0,35.0,2.0,1.0,980.0
2014,CA,Gemma2B,Below,Below,Male,21.0,1.0,19.0,5.0,5610.0,303.0,2.0,40.0,1.0,1.0,18700.0
2014,CA,Gemma2B,Below,Below,Male,40.0,6.0,13.0,1.0,4020.0,4.0,1.0,45.0,1.0,1.0,10000.0
2014,CA,Gemma2B,Below,Above,Male,30.0,5.0,16.0,5.0,5540.0,6.0,0.0,36.0,1.0,2.0,65000.0
2014,CA,Gemma2B,Below,Below,Male,27.0,1.0,17.0,5.0,9130.0,6.0,0.0,80.0,1.0,1.0,49200.0
2014,CA,Gemma2B,Below,Below,Female,23.0,2.0,21.0,5.0,4700.0,6.0,0.0,40.0,2.0,1.0,1500.0
2014,CA,Gemma2B,Below,Below,Male,73.0,6.0,9.0,1.0,6230.0,313.0,0.0,40.0,1.0,8.0,24400.0
2014,CA,Gemma2B,Below,Below,Female,33.0,1.0,24.0,1.0,2340.0,217.0,1.0,6.0,2.0,6.0,40000.0
2014,CA,Gemma2B,Below,Above,Female,23.0,2.0,20.0,1.0,5400.0,6.0,0.0,18.0,2.0,8.0,56000.0
2014,CA,Gemma2B,Above,Below,Male,32.0,1.0,18.0,1.0,6050.0,6.0,0.0,55.0,1.0,1.0,0.0
2014,CA,Gemma2B,Above,Above,Female,32.0,1.0,21.0,5.0,3645.0,6.0,13.0,40.0,2.0,6.0,65000.0
2014,CA,Gemma2B,Below,Below,Male,31.0,1.0,1.0,1.0,7260.0,6.0,0.0,40.0,1.0,1.0,5400.0
2014,CA,Gemma2B,Above,Below,Male,52.0,1.0,16.0,3.0,6320.0,6.0,0.0,45.0,1.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,54.0,4.0,21.0,3.0,1360.0,233.0,0.0,40.0,1.0,6.0,14100.0
2014,CA,Gemma2B,Below,Below,Male,22.0,1.0,16.0,1.0,6260.0,6.0,2.0,40.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Above,Female,24.0,2.0,21.0,5.0,1965.0,6.0,2.0,40.0,2.0,6.0,85000.0
2014,CA,Gemma2B,Below,Below,Female,57.0,2.0,21.0,5.0,3255.0,110.0,0.0,32.0,2.0,1.0,6000.0
2014,CA,Gemma2B,Below,Above,Female,45.0,2.0,21.0,3.0,850.0,6.0,11.0,40.0,2.0,1.0,80000.0
2014,CA,Gemma2B,Above,Below,Male,33.0,7.0,21.0,1.0,430.0,6.0,0.0,40.0,1.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,28.0,6.0,19.0,5.0,205.0,36.0,12.0,35.0,1.0,1.0,39000.0
2014,CA,Gemma2B,Above,Below,Female,55.0,1.0,19.0,1.0,3640.0,6.0,1.0,40.0,2.0,1.0,36000.0
2014,CA,Gemma2B,Below,Below,Male,51.0,6.0,18.0,1.0,8450.0,6.0,0.0,20.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Female,36.0,1.0,21.0,1.0,4820.0,4.0,0.0,40.0,2.0,1.0,0.0
2014,CA,Gemma2B,Above,Below,Male,43.0,7.0,19.0,1.0,4220.0,24.0,0.0,50.0,1.0,1.0,12000.0
2014,CA,Gemma2B,Above,Below,Female,40.0,2.0,23.0,3.0,540.0,6.0,13.0,40.0,2.0,9.0,
2014,CA,Gemma2B,Above,Below,Male,44.0,6.0,21.0,5.0,1410.0,363.0,0.0,30.0,1.0,1.0,0.0
2014,CA,Gemma2B,Below,Below,Male,18.0,3.0,18.0,5.0,3955.0,6.0,2.0,40.0,1.0,1.0,
2014,CA,Gemma2B,Above,Above,Female,68.0,4.0,22.0,1.0,230.0,6.0,0.0,36.0,2.0,1.0,63000.0
2014,CA,Gemma2B,Above,Below,Female,39.0,1.0,21.0,1.0,3255.0,233.0,1.0,40.0,2.0,6.0,0.0
2014,CA,Gemma2B,Below,Below,Male,27.0,1.0,21.0,5.0,5240.0,233.0,11.0,40.0,1.0,6.0,32700.0
2014,CA,Gemma2B,Above,Below,Male,53.0,1.0,22.0,5.0,230.0,1.0,17.0,40.0,1.0,1.0,29000.0
2014,CA,Gemma2B,Below,Above,Female,38.0,1.0,16.0,3.0,5260.0,6.0,0.0,40.0,2.0,1.0,120000.0
2014,CA,Gemma2B,Below,Below,Male,40.0,1.0,20.0,3.0,4810.0,164.0,0.0,40.0,1.0,1.0,36800.0
2014,CA,Gemma2B,Below,Above,Male,32.0,1.0,19.0,1.0,4030.0,6.0,1.0,30.0,1.0,1.0,88000.0
2014,CA,Gemma2B,Above,Below,Male,37.0,1.0,21.0,1.0,1020.0,17.0,0.0,65.0,1.0,1.0,2400.0
2014,CA,Gemma2B,Below,Above,Male,53.0,1.0,15.0,1.0,310.0,303.0,1.0,40.0,1.0,1.0,75000.0
2014,CA,Gemma2B,Above,Below,Female,51.0,1.0,16.0,1.0,5240.0,6.0,1.0,30.0,2.0,1.0,24100.0
2014,CA,Gemma2B,Above,Below,Male,48.0,1.0,21.0,1.0,20.0,53.0,0.0,50.0,1.0,1.0,6400.0
2014,CA,Gemma2B,Below,Above,Female,22.0,1.0,18.0,5.0,4850.0,6.0,2.0,40.0,2.0,1.0,65000.0
2014,CA,Gemma2B,Above,Below,Male,54.0,3.0,21.0,1.0,2310.0,6.0,0.0,35.0,1.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,65.0,6.0,23.0,1.0,2100.0,30.0,1.0,50.0,1.0,1.0,45000.0
2014,CA,Gemma2B,Below,Below,Female,28.0,1.0,21.0,5.0,20.0,6.0,12.0,45.0,2.0,1.0,
2014,CA,Gemma2B,Above,Above,Male,30.0,1.0,17.0,5.0,4000.0,303.0,12.0,50.0,1.0,1.0,61000.0
2014,CA,Gemma2B,Below,Below,Female,18.0,1.0,16.0,5.0,4050.0,6.0,2.0,32.0,2.0,8.0,0.0
2014,CA,Gemma2B,Below,Above,Male,39.0,1.0,22.0,1.0,430.0,6.0,0.0,50.0,1.0,7.0,52000.0
2014,CA,Gemma2B,Below,Above,Female,38.0,1.0,19.0,1.0,9140.0,110.0,0.0,40.0,2.0,1.0,91000.0
2014,CA,Gemma2B,Below,Above,Male,66.0,1.0,19.0,1.0,4760.0,233.0,1.0,16.0,1.0,6.0,55000.0
2014,CA,Gemma2B,Below,Below,Female,37.0,4.0,22.0,1.0,2310.0,6.0,1.0,40.0,2.0,1.0,25900.0
